video_id,n_segments,condition,cycle_idx,flex_start_1,flex_end_1,ext_start_1,ext_end_1,JC_start_1,JC_end_1,OT_start_1,OT_end_1,SB_start_1,SB_end_1
308,64,normal,0,71,116,117,155,1,29,30,47,48,64
308,64,normal,1,253,298,299,335,1,29,30,47,48,64
308,64,normal,2,585,618,630,669,1,29,30,47,48,64
308,64,normal,3,156,199,210,250,1,29,30,47,48,64
308,64,normal,4,342,393,407,439,1,29,30,47,48,64
1190,64,normal,0,66,89,92,109,1,29,30,47,48,64
1190,64,normal,1,421,452,470,492,1,29,30,47,48,64
1190,64,normal,2,503,532,533,569,1,29,30,47,48,64
1190,64,normal,3,737,767,770,793,1,29,30,47,48,64
1190,64,normal,4,794,822,823,860,1,29,30,47,48,64
1193,64,normal,0,1792,1801,1802,1812,1,29,30,47,48,64
1193,64,normal,1,1813,1822,1823,1833,1,29,30,47,48,64
1193,64,normal,2,1834,1843,1844,1852,1,29,30,47,48,64
1193,64,normal,3,1853,1863,1864,1872,1,29,30,47,48,64
1193,64,normal,4,1873,1881,1881,1889,1,29,30,47,48,64
1207,64,normal,0,242,254,264,280,1,26,27,39,40,64
1207,64,normal,1,281,293,299,312,1,26,27,39,40,64
1207,64,normal,2,318,335,337,352,1,26,27,39,40,64
1207,64,normal,3,353,372,373,389,1,26,27,39,40,64
1207,64,normal,4,391,411,412,431,1,26,27,39,40,64
1207,64,normal,5,434,451,453,467,1,26,27,39,40,64
1207,64,normal,6,472,486,488,505,1,26,27,39,40,64
1207,64,normal,7,614,632,633,651,1,26,27,39,40,64
1207,64,normal,8,652,671,672,690,1,26,27,39,40,64
1207,64,normal,9,693,708,709,727,1,26,27,39,40,64
1207,64,normal,10,731,748,751,767,1,26,27,39,40,64
1207,64,normal,11,768,786,787,804,1,26,27,39,40,64
1207,64,normal,12,807,822,824,841,1,26,27,39,40,64
1207,64,normal,13,844,862,863,877,1,26,27,39,40,64
308,16,normal,0,71,116,117,155,1,7,8,12,13,16
308,16,normal,1,253,298,299,335,1,7,8,12,13,16
308,16,normal,2,585,618,630,669,1,7,8,12,13,16
308,16,normal,3,156,199,210,250,1,7,8,12,13,16
1190,16,normal,0,66,89,92,109,1,7,8,12,13,16
1190,16,normal,1,421,452,470,492,1,7,8,12,13,16
1190,16,normal,2,503,532,533,569,1,7,8,12,13,16
1190,16,normal,3,737,767,770,793,1,7,8,12,13,16
1190,16,normal,4,794,822,823,860,1,7,8,12,13,16
1193,16,normal,0,1792,1801,1802,1812,1,7,8,12,13,16
1193,16,normal,1,1813,1822,1823,1833,1,7,8,12,13,16
1193,16,normal,2,1834,1843,1844,1852,1,7,8,12,13,16
1193,16,normal,3,1853,1863,1864,1872,1,7,8,12,13,16
1193,16,normal,4,1873,1881,1881,1889,1,7,8,12,13,16
1339,64,aging,0,290,309,312,329,1,27,28,44,45,64
1339,64,aging,1,331,352,355,374,1,27,28,44,45,64
1339,64,aging,2,375,394,398,421,1,27,28,44,45,64
1339,64,aging,3,422,439,441,463,1,27,28,44,45,64
1339,64,aging,4,464,488,490,512,1,27,28,44,45,64
1339,64,aging,5,513,530,532,553,1,27,28,44,45,64
1339,64,aging,6,554,576,579,609,1,27,28,44,45,64
1339,64,aging,7,1199,1231,1232,1264,1,27,28,44,45,64
1339,64,aging,8,1265,1299,1300,1336,1,27,28,44,45,64
1339,64,aging,9,1337,1365,1366,1390,1,27,28,44,45,64
1342,64,aging,0,62,81,82,100,1,27,28,44,45,64
1342,64,aging,1,102,119,123,151,1,27,28,44,45,64
1342,64,aging,2,152,171,178,199,1,27,28,44,45,64
1342,64,aging,3,206,222,223,246,1,27,28,44,45,64
1342,64,aging,4,247,272,273,297,1,27,28,44,45,64
1342,64,aging,5,298,320,321,340,1,27,28,44,45,64
1342,64,aging,6,341,364,365,384,1,27,28,44,45,64
1357,64,aging,0,218,240,241,272,1,27,28,44,45,64
1357,64,aging,1,278,305,306,330,1,27,28,44,45,64
1357,64,aging,2,420,447,449,467,1,27,28,44,45,64
1357,64,aging,3,469,492,493,517,1,27,28,44,45,64
1357,64,aging,4,639,660,662,682,1,27,28,44,45,64
1357,64,aging,5,683,709,710,732,1,27,28,44,45,64
1357,64,aging,6,744,775,777,779,1,27,28,44,45,64
1357,64,aging,7,801,828,837,858,1,27,28,44,45,64
1357,64,aging,8,859,890,893,917,1,27,28,44,45,64
1357,64,aging,9,1067,1091,1092,1118,1,27,28,44,45,64
1357,64,aging,10,1136,1171,1173,1198,1,27,28,44,45,64
1357,64,aging,11,1199,1230,1232,1260,1,27,28,44,45,64
1357,64,aging,12,1261,1285,1286,1311,1,27,28,44,45,64
1357,64,aging,13,1313,1340,1342,1365,1,27,28,44,45,64
1357,64,aging,14,1368,1394,1395,1419,1,27,28,44,45,64
1358,64,aging,0,1360,1384,1385,1406,1,27,28,44,45,64
1358,64,aging,1,1407,1433,1434,1454,1,27,28,44,45,64
1358,64,aging,2,1461,1483,1484,1508,1,27,28,44,45,64
1358,64,aging,3,1509,1540,1541,1559,1,27,28,44,45,64
